ST	abcZ	adk	aroE	fumC	gdh	pdhC	pgm	clonal_complex
3587	10	5	319	287	11	9	63	CC23
3588	4	10	318	4	6	3	8	CC32
3589	4	10	6	17	6	2	12	CC35
3590	2	16	12	11	3	60	6	CC254
3591	17	5	18	8	11	24	21	CC22
3592	4	10	6	16	6	10	20	CC35
3593	8	5	2	17	11	5	12	unassigned CC for 3593
3594	8	185	6	270	5	18	2	CC103
3595	4	10	5	4	6	3	206	CC32
3596	10	5	18	9	11	281	17	CC23
3597	8	10	5	4	6	3	13	CC32
3598	2	5	2	7	15	20	2	CC750
3599	8	3	7	60	9	6	9	unassigned CC for 3599
3600	14	5	6	9	3	21	18	CC334
3601	11	5	18	17	5	24	2	CC22
3602	2	3	16	2	8	5	2	CC8
3603	13	6	152	53	9	38	9	unassigned CC for 3603
3604	2	6	9	2	8	5	2	CC8
3605	3	6	9	5	266	6	70	CC41/44
3606	4	10	2	5	3	68	9	unassigned CC for 3606
3607	2	6	63	9	9	11	8	unassigned CC for 3607
3608	3	116	9	5	5	22	9	CC41/44
3609	10	6	9	5	9	60	9	CC41/44
3610	261	6	9	5	9	6	9	CC41/44
3611	2	16	6	17	9	18	6	CC167
3612	2	16	6	17	9	18	22	CC167
3613	2	187	9	9	16	18	8	CC167
3614	3	6	9	5	9	177	9	CC41/44
3615	3	6	9	9	9	6	297	CC41/44
3616	3	6	9	5	9	263	70	CC41/44
3617	3	6	9	8	9	6	9	CC41/44
3618	3	6	108	5	297	6	9	CC41/44
3619	3	6	298	5	9	18	9	CC41/44
3620	3	157	9	5	9	6	9	CC41/44
3621	4	2	2	9	21	11	20	unassigned CC for 3621
3622	4	2	15	9	8	11	9	CC269
3623	4	3	11	9	6	10	9	CC35
3624	4	5	72	9	6	10	16	unassigned CC for 3624
3625	4	10	9	7	8	11	18	CC269
3626	4	10	11	18	6	10	9	CC35
3627	4	10	11	18	6	10	280	CC35
3628	4	10	15	9	11	11	13	CC269
3629	4	10	15	17	6	10	12	CC35
3630	4	16	12	17	3	60	7	CC254
3631	6	5	173	13	264	24	17	CC174
3632	6	5	322	25	8	280	17	unassigned CC for 3632
3633	7	5	1	277	36	53	15	CC213
3634	7	5	1	13	265	53	15	CC213
3635	7	5	1	13	9	53	15	CC213
3636	7	5	1	9	9	53	12	CC213
3637	7	5	1	15	36	60	15	CC213
3638	7	5	1	9	9	53	15	CC213
3639	46	3	79	7	63	6	5	unassigned CC for 3639
3640	7	5	4	32	36	53	15	CC213
3641	7	5	6	13	36	53	15	CC213
3642	7	5	172	13	36	53	15	CC213
3643	7	10	1	13	36	53	15	CC213
3644	7	25	1	13	36	53	15	CC213
3645	8	3	5	8	8	21	2	CC865
3646	8	3	5	9	8	21	2	CC865
3647	8	3	5	18	6	21	2	unassigned CC for 3647
3648	8	4	6	17	5	267	2	CC103
3649	8	4	6	17	295	18	2	CC103
3650	8	5	2	17	9	6	46	unassigned CC for 3650
3651	8	5	18	17	11	24	21	CC22
3652	8	5	19	17	11	56	54	unassigned CC for 3652
3653	8	6	34	5	11	6	9	CC41/44
3654	8	10	5	4	6	3	6	CC32
3655	8	25	7	17	21	26	5	CC1157
3656	8	25	7	17	21	264	49	CC1157
3657	9	6	9	9	9	6	141	CC41/44
3658	9	6	63	9	9	11	9	CC41/44
3659	10	5	18	9	11	87	17	CC23
3660	10	7	6	17	1	18	8	CC167
3661	11	5	6	8	11	4	21	CC22
3662	11	5	8	24	176	24	21	CC22
3663	11	5	11	8	11	4	21	CC22
3664	11	5	18	8	11	4	6	CC22
3665	11	5	18	15	11	11	21	CC22
3666	11	6	9	5	9	11	9	CC41/44
3667	12	5	9	2	9	6	17	unassigned CC for 3667
3668	12	5	18	162	11	9	17	CC23
3669	12	6	9	9	9	6	2	CC41/44
3670	12	10	72	9	6	10	12	CC35
3671	16	2	6	25	17	25	254	CC53
3672	16	2	19	25	17	25	22	CC53
3673	16	144	35	241	234	222	287	unassigned CC for 3673
3674	17	6	19	13	3	26	10	CC60
3675	46	5	2	7	6	20	151	unassigned CC for 3675
3676	46	10	11	17	6	10	12	CC35
3677	47	3	6	152	143	139	95	unassigned CC for 3677
3678	111	5	18	17	11	24	21	CC22
3679	150	5	2	9	15	20	5	CC750
3680	167	10	11	17	6	7	12	CC35
3681	201	144	35	241	234	222	287	unassigned CC for 3681
3682	253	5	1	13	36	53	292	CC213
3683	265	6	9	5	9	6	9	CC41/44
3684	8	5	6	55	3	11	20	unassigned CC for 3684
3685	25	3	18	21	8	13	9	CC376
3686	46	3	6	7	6	20	13	unassigned CC for 3686
3687	47	3	58	31	24	87	13	unassigned CC for 3687
3688	8	5	6	17	3	21	2	CC865
3689	46	28	56	7	9	235	5	unassigned CC for 3689
3690	267	3	15	24	24	11	10	unassigned CC for 3690
3691	46	3	79	7	5	20	5	unassigned CC for 3691
3692	20	6	63	32	9	11	9	unassigned CC for 3692
3693	2	16	6	17	305	18	8	CC167
3694	2	3	7	302	8	5	2	CC8
3695	10	6	9	17	9	6	9	CC41/44
3696	3	6	9	5	9	5	9	CC41/44
3697	63	17	25	119	11	21	2	unassigned CC for 3697
3698	7	106	10	17	10	13	9	unassigned CC for 3698
3699	4	10	15	9	8	11	241	CC269
3700	2	3	4	3	8	18	6	CC11
3701	2	16	12	17	3	285	7	CC254
3702	3	5	19	5	3	6	9	CC41/44
3703	9	20	323	9	9	6	2	CC41/44
3704	10	5	18	9	306	9	17	CC23
3705	268	6	6	17	9	18	8	CC167
3706	233	178	311	282	267	287	262	unassigned CC for 3706
3707	236	170	317	268	274	288	264	unassigned CC for 3707
3708	264	171	290	269	291	289	283	unassigned CC for 3708
3709	10	5	18	9	308	9	17	CC23
3710	13	5	6	4	3	8	18	CC334
3711	3	6	9	4	9	6	9	CC41/44
3712	3	6	34	5	11	6	20	CC41/44
3713	5	5	19	17	294	18	2	CC60
3714	2	3	7	3	8	4	6	CC11
3715	4	10	2	17	302	11	20	unassigned CC for 3715
3716	2	3	7	8	8	5	2	CC8
3717	10	5	9	5	9	6	9	CC41/44
3718	8	5	6	13	26	18	32	unassigned CC for 3718
3719	2	3	7	60	8	5	2	CC8
3720	8	10	313	4	5	3	8	CC32
3721	3	6	9	5	1	6	9	CC41/44
3722	7	5	4	13	36	53	15	CC213
3723	4	10	11	8	6	6	46	CC35
3724	7	3	4	13	36	53	15	CC213
3725	3	16	325	5	9	53	9	CC41/44
3726	17	3	4	3	8	4	6	CC11
3727	8	5	2	92	11	5	21	unassigned CC for 3727
3728	11	6	9	8	9	6	8	CC41/44
3729	10	10	9	24	9	41	9	unassigned CC for 3729
3730	12	7	4	8	3	21	16	unassigned CC for 3730
3731	8	5	19	17	3	10	128	CC60
3732	2	3	4	3	309	4	6	CC11
3733	3	5	9	5	252	6	6	CC41/44
3734	10	5	18	59	11	9	163	CC23
3735	20	5	9	9	26	6	18	unassigned CC for 3735
3736	4	10	2	5	38	4	9	unassigned CC for 3736
3737	8	25	7	17	21	6	49	CC1157
3738	9	6	9	9	5	6	12	CC41/44
3739	7	5	1	13	11	53	15	CC213
3740	8	3	5	188	6	21	2	unassigned CC for 3740
3741	10	5	18	60	11	9	17	CC23
3742	12	188	15	17	8	21	17	CC865
3743	4	10	11	17	6	2	12	CC35
3744	3	6	9	9	9	22	22	CC41/44
3745	11	6	34	5	11	6	9	CC41/44
3746	3	6	34	17	11	6	9	CC41/44
3747	2	3	34	2	8	5	2	CC8
3748	2	3	7	92	8	4	6	CC11
3749	9	6	7	18	299	6	2	unassigned CC for 3749
3750	7	5	7	13	36	53	15	CC213
3751	2	3	9	3	8	4	6	CC11
3752	9	6	9	9	58	6	2	CC41/44
3753	3	6	9	5	9	6	17	CC41/44
3754	3	5	9	5	9	6	9	CC41/44
3755	3	6	18	5	9	6	9	CC41/44
3756	12	6	17	15	9	6	7	unassigned CC for 3756
3757	8	2	9	15	24	6	73	unassigned CC for 3757
3758	4	10	2	9	38	11	21	CC269
3759	8	5	15	17	8	11	2	CC865
3760	4	6	9	60	6	10	12	CC35
3761	10	5	18	59	11	9	32	CC23
3762	11	5	18	8	8	4	21	CC22
3763	3	6	9	5	9	3	8	CC41/44
3764	8	10	5	9	6	3	13	CC32
3765	8	10	5	4	6	18	8	CC32
3766	25	6	9	9	5	213	21	unassigned CC for 3766
3767	21	5	181	5	3	8	9	unassigned CC for 3767
3768	8	10	38	9	6	3	8	CC32
3769	4	3	5	4	314	3	8	CC32
3770	4	3	5	4	315	21	8	CC32
3771	4	10	47	307	6	2	12	CC35
3772	4	10	331	9	8	21	10	CC269
3773	8	10	5	4	6	296	8	CC32
3774	8	10	5	308	6	3	8	CC32
3775	8	10	5	309	6	297	8	CC32
3776	8	10	330	4	6	3	8	CC32
3777	8	192	5	9	6	3	13	unassigned CC for 3777
3778	8	193	5	9	6	3	8	CC32
3779	276	4	9	17	5	18	2	CC103
3780	276	4	9	9	5	18	2	CC103
3781	8	4	9	9	5	3	2	CC103
3782	3	4	9	9	9	3	2	unassigned CC for 3782
3783	54	190	328	66	141	69	63	unassigned CC for 3783
3784	54	190	328	66	141	69	88	unassigned CC for 3784
3785	84	49	48	50	313	46	45	CC640 (lactamica)
3786	273	189	42	306	165	294	299	unassigned CC for 3786
3787	274	43	48	45	138	295	159	unassigned CC for 3787
3788	275	191	329	305	311	46	300	unassigned CC for 3788
3789	20	3	132	3	128	11	118	unassigned CC for 3789
3790	13	5	76	40	312	8	18	unassigned CC for 3790
3791	12	6	9	9	26	15	9	CC41/44
3792	2	3	7	2	3	5	2	CC8
3793	17	5	19	17	8	26	2	CC60
3794	9	16	9	9	9	6	2	CC41/44
3795	11	5	18	17	11	4	21	CC22
3796	9	20	9	9	10	6	2	CC41/44
3797	4	10	327	17	6	5	12	CC35
3798	13	3	6	1	26	78	304	unassigned CC for 3798
3799	280	7	4	8	321	21	16	unassigned CC for 3799
3800	3	6	9	5	28	22	9	CC41/44
3801	10	5	9	9	11	9	17	CC23
3802	3	6	18	5	3	6	9	CC41/44
3803	11	6	63	9	9	11	9	CC41/44
3804	46	3	79	2	63	20	5	unassigned CC for 3804
3805	3	7	4	37	8	18	232	CC92
3806	1	7	6	17	9	6	8	CC167
3807	17	5	19	92	3	26	2	CC60
3808	2	16	12	303	3	60	7	CC254
3809	6	6	4	9	8	13	169	unassigned CC for 3809
3810	10	10	11	276	6	10	18	CC35
3811	2	16	12	11	3	60	18	CC254
3812	20	20	79	63	26	231	62	unassigned CC for 3812
3813	7	5	1	13	36	299	15	CC213
3814	6	5	5	4	6	3	8	CC32
3815	6	5	2	60	12	13	14	unassigned CC for 3815
3816	3	6	9	9	9	9	9	CC41/44
3817	4	10	26	4	6	34	8	CC32
3818	3	6	9	3	11	6	9	CC41/44
3819	4	10	5	290	6	11	8	CC32
3820	3	6	9	5	5	6	2	CC41/44
3821	3	6	9	263	9	6	9	CC41/44
3822	4	10	5	9	6	3	8	CC32
3823	132	3	19	9	62	21	2	unassigned CC for 3823
3824	270	16	12	17	3	60	7	CC254
3825	4	10	2	55	8	11	18	CC269
3826	279	5	1	13	36	53	15	CC213
3827	9	5	46	16	26	6	9	unassigned CC for 3827
3828	11	5	18	15	11	26	21	CC22
3829	278	10	47	17	6	2	12	unassigned CC for 3829
3830	9	7	6	24	11	18	46	unassigned CC for 3830
3831	4	10	161	4	6	3	8	CC32
3832	11	5	18	8	78	24	2	CC22
3833	68	25	7	17	21	26	22	CC1157
3834	5	4	18	15	14	7	12	CC198
3835	4	10	47	17	6	265	12	CC35
3836	46	26	34	16	26	210	18	unassigned CC for 3836
3837	5	4	38	15	22	229	13	CC1136
3838	11	5	328	8	78	24	21	CC22
3839	9	7	6	24	3	18	8	CC167
3840	5	4	6	15	14	7	12	CC198
3841	11	5	1	13	36	53	15	CC213
3842	16	6	6	60	9	6	9	CC41/44
3843	7	5	18	9	11	60	17	CC23
3844	7	5	1	15	36	53	195	CC213
3845	9	150	9	9	9	6	2	CC41/44
3846	12	25	9	17	21	26	49	CC1157
3847	5	4	17	15	14	195	12	CC198
3848	42	5	46	24	6	20	17	CC282
3849	8	5	18	8	11	4	21	CC22
3850	132	10	19	17	62	203	13	unassigned CC for 3850
3851	17	5	19	17	3	290	2	CC60
3852	133	7	6	17	9	6	8	CC167
3853	4	10	15	9	5	11	32	CC269
3854	16	2	168	8	77	25	112	CC1117
3855	3	2	9	25	17	25	22	CC53
3856	8	5	12	17	3	10	124	unassigned CC for 3856
3857	17	5	19	17	3	25	2	CC60
3858	10	5	6	13	36	53	15	CC213
3859	11	5	18	8	11	24	2	CC22
3860	2	8	7	19	6	68	16	unassigned CC for 3860
3861	12	5	334	15	3	10	124	unassigned CC for 3861
3862	132	3	19	17	62	124	2	unassigned CC for 3862
3863	8	5	19	17	11	24	291	unassigned CC for 3863
3864	260	5	19	17	3	6	2	CC60
3865	11	5	5	8	11	24	22	CC22
3866	3	6	9	5	3	10	9	CC41/44
3867	3	6	9	13	9	6	206	CC41/44
3868	1	5	6	53	26	41	3	CC162
3869	7	16	108	8	3	56	46	CC178
3870	8	137	7	17	21	26	49	CC1157
3871	3	16	6	17	9	18	8	CC167
3872	7	5	1	13	212	53	15	CC213
3873	17	5	1	13	9	53	2	CC213
3874	4	10	1	13	38	11	9	CC269
3875	193	26	15	24	2	195	17	CC282
3876	5	3	17	15	30	7	12	CC198
3877	263	10	79	15	6	189	12	unassigned CC for 3877
3878	7	16	9	5	9	6	46	CC41/44
3879	4	10	79	15	6	189	178	unassigned CC for 3879
3880	8	3	13	53	205	240	77	unassigned CC for 3880
3881	8	26	9	24	26	20	17	CC212
3882	20	3	2	26	26	15	9	unassigned CC for 3882
3883	5	4	38	15	22	40	289	CC1136
3884	4	10	11	316	6	10	12	CC35
3885	5	6	63	9	9	300	9	CC41/44
3886	6	6	9	8	9	6	17	CC41/44
3887	2	16	12	19	3	24	200	CC254
3888	2	3	270	3	8	4	6	CC11
3889	23	5	9	3	8	32	8	unassigned CC for 3889
3890	6	10	15	9	12	11	9	CC269
3891	17	4	6	17	5	18	2	CC103
3892	2	6	7	17	9	6	9	CC41/44
3893	11	20	9	9	9	6	21	CC41/44
3894	11	7	1	17	9	18	8	CC167
3895	12	5	4	17	3	18	124	unassigned CC for 3895
3896	4	5	2	17	8	11	14	unassigned CC for 3896
3897	8	10	77	4	6	3	9	CC32
3898	4	10	2	5	11	11	21	unassigned CC for 3898
3899	13	196	52	13	3	11	9	CC364
3900	282	6	9	9	9	6	9	CC41/44
3901	8	6	324	90	9	6	8	unassigned CC for 3901
3902	43	5	326	304	21	26	15	unassigned CC for 3902
3903	6	5	105	2	6	13	17	unassigned CC for 3903
3904	17	5	19	2	3	26	16	CC60
3905	43	5	9	60	3	53	15	unassigned CC for 3905
3906	20	5	75	3	1	21	20	unassigned CC for 3906
3907	4	5	11	17	118	6	12	unassigned CC for 3907
3908	4	10	5	311	6	3	8	CC32
3909	269	6	9	5	9	6	9	CC41/44
3910	3	6	108	5	9	6	2	CC41/44
3911	20	4	2	9	262	18	30	unassigned CC for 3911
3912	2	3	2	24	3	11	9	CC364
3913	8	26	9	24	26	20	305	CC212
3914	2	16	6	17	9	247	8	CC167
3915	2	5	18	8	11	24	21	CC22
3916	28	6	6	9	9	6	9	CC41/44
3917	110	2	15	5	26	120	46	unassigned CC for 3917
3918	81	2	100	98	81	46	88	CC624 (lactamica)
3919	28	6	9	9	9	6	2	CC41/44
3920	9	6	9	5	9	6	301	CC41/44
3921	10	10	9	5	9	6	9	CC41/44
3922	7	5	1	13	36	53	303	CC213
3923	2	7	6	17	9	7	8	CC167
3924	5	153	17	15	30	7	12	CC198
3925	7	5	1	13	36	262	15	CC213
3926	8	25	7	17	21	26	15	CC1157
3927	8	5	9	265	8	21	7	CC865
3928	9	7	6	7	11	18	8	CC167
3929	8	3	19	17	26	232	12	unassigned CC for 3929
3930	4	3	15	9	8	11	13	CC269
3931	5	4	38	15	248	40	13	CC1136
3932	281	7	6	17	11	18	8	CC167
3933	5	4	17	15	14	7	2	CC198
3934	4	10	2	5	3	11	2	unassigned CC for 3934
3935	3	5	9	5	9	6	2	CC41/44
3936	16	2	159	92	6	25	112	CC1117
3937	4	10	2	110	38	11	1	unassigned CC for 3937
3938	2	7	6	17	8	18	8	CC167
3939	4	6	6	9	6	10	12	CC35
3940	8	25	7	17	3	26	49	CC1157
3941	4	10	5	4	6	25	8	CC32
3942	6	6	63	9	9	11	17	unassigned CC for 3942
3943	5	4	302	15	14	7	12	CC198
3944	42	25	7	17	21	26	49	CC1157
3945	7	5	1	13	36	239	195	CC213
3946	4	10	267	9	6	10	12	CC35
3947	8	6	9	9	9	291	2	CC41/44
3948	7	6	12	17	37	60	12	unassigned CC for 3948
3949	2	7	6	17	9	6	9	CC167
3950	8	5	18	8	11	26	21	CC22
3951	11	5	18	8	78	242	21	CC22
3952	208	6	9	9	9	6	9	CC41/44
3953	5	6	9	3	9	25	16	unassigned CC for 3953
3954	7	16	55	318	3	56	46	CC178
3955	17	5	9	5	3	26	2	CC60
3956	9	2	15	25	17	25	22	CC53
3957	16	10	15	9	8	11	9	CC269
3958	7	85	1	9	36	53	15	CC213
3959	17	5	1	13	36	53	15	CC213
3960	11	5	18	8	30	24	21	CC22
3961	7	152	55	10	3	56	46	CC178
3962	16	2	159	92	289	25	112	CC1117
3963	4	10	15	254	8	11	9	CC269
3964	4	10	12	9	2	10	12	CC35
3965	7	5	230	13	36	53	15	CC213
3966	7	6	9	8	9	6	16	CC41/44
3967	4	10	5	4	15	3	2	CC32
3968	4	10	262	4	6	3	8	CC32
3969	9	20	9	9	322	6	2	CC41/44
3970	7	5	1	13	36	53	3	CC213
3971	6	6	63	9	5	11	9	unassigned CC for 3971
3972	16	2	168	8	11	25	112	CC1117
3973	16	2	159	92	77	18	112	CC1117
3974	10	5	18	9	11	226	17	CC23
3975	5	20	9	9	9	6	2	CC41/44
3976	7	16	55	65	3	56	46	CC178
3977	10	5	161	9	11	9	17	CC23
3978	9	20	9	9	9	18	2	CC41/44
3979	11	5	18	248	11	24	21	CC22
3980	2	7	6	8	9	7	8	CC167
3981	10	5	18	14	11	9	12	CC23
3982	46	11	79	129	323	9	3	unassigned CC for 3982
3983	9	6	15	9	9	303	18	CC41/44
3984	7	5	336	13	36	53	15	CC213
3985	7	4	17	15	14	7	12	CC198
3986	4	10	47	17	3	2	12	unassigned CC for 3986
3987	185	10	11	17	6	10	12	CC35
3988	11	5	18	24	11	24	21	CC22
3989	27	5	9	3	9	6	16	unassigned CC for 3989
3990	3	6	9	5	320	6	9	CC41/44
3991	6	5	2	12	325	10	14	unassigned CC for 3991
3992	4	10	11	18	6	160	12	CC35
3993	8	26	9	5	9	6	9	CC41/44
3994	12	29	9	9	9	6	9	CC41/44
3995	13	29	2	17	26	65	22	unassigned CC for 3995
3996	6	5	2	12	6	13	17	unassigned CC for 3996
3997	13	26	2	17	26	65	53	unassigned CC for 3997
3998	42	200	46	24	2	20	17	CC282
3999	35	5	15	325	11	6	3	unassigned CC for 3999
4000	83	26	87	45	17	46	85	unassigned CC for 4000
4001	8	5	12	324	3	22	53	unassigned CC for 4001
4002	8	10	5	326	5	3	8	CC32
4003	4	26	15	9	8	11	9	CC269
4004	1	5	13	53	26	238	3	CC162
4005	8	26	46	24	3	20	17	CC282
4006	16	5	159	92	77	25	6	CC1117
4007	42	29	46	24	2	20	17	CC282
4008	6	26	6	26	26	60	53	unassigned CC for 4008
4009	8	29	9	24	26	20	18	CC212
4010	7	5	159	13	36	53	53	CC213
4011	8	5	12	11	8	22	7	unassigned CC for 4011
4012	80	26	48	165	26	46	56	CC613 (lactamica)
4013	46	10	198	205	6	3	12	unassigned CC for 4013
4014	40	43	48	57	165	42	86	unassigned CC for 4014
4015	80	45	87	106	86	44	306	unassigned CC for 4015
4016	149	215	363	317	81	46	172	unassigned CC for 4016
4017	20	5	18	9	9	11	9	unassigned CC for 4017
4018	3	6	9	5	14	6	9	CC41/44
4019	43	5	9	60	5	19	15	unassigned CC for 4019
4020	4	10	15	7	8	11	277	CC269
4021	60	6	9	263	9	6	9	CC41/44
4022	8	6	5	4	6	3	8	CC32
4023	4	10	277	5	3	11	9	CC269
4024	6	10	11	18	6	145	12	CC35
4025	223	3	4	3	8	4	6	CC11
4026	6	6	17	5	11	6	9	CC41/44
4027	12	5	12	35	3	22	17	CC461
4028	4	10	12	17	6	10	12	CC35
4029	12	6	9	60	9	6	9	CC41/44
4030	15	20	9	9	9	6	2	CC41/44
4031	8	6	9	60	9	6	9	CC41/44
4032	132	3	19	17	16	21	2	unassigned CC for 4032
4033	3	6	133	5	9	6	9	CC41/44
4034	2	10	11	17	6	10	12	CC35
4035	2	3	7	2	8	5	12	CC8
4036	12	6	9	5	11	6	9	CC41/44
4037	8	3	4	3	51	4	6	CC11
4038	8	10	5	4	16	3	8	CC32
4039	3	6	9	5	30	199	2	CC41/44
4040	3	6	9	5	6	6	9	CC41/44
4041	17	5	18	17	3	26	2	CC60
4042	8	6	46	9	9	6	9	CC41/44
4043	4	3	124	17	6	20	302	unassigned CC for 4043
4044	2	3	4	3	8	4	71	CC11
4045	5	4	17	15	14	298	12	CC198
4046	13	3	52	13	217	11	9	CC364
4047	2	3	7	6	8	20	2	CC8
4048	3	6	9	5	9	6	5	CC41/44
4049	3	6	332	5	9	6	9	CC41/44
4050	4	10	9	2	38	6	9	unassigned CC for 4050
4051	6	3	6	17	26	21	8	unassigned CC for 4051
4052	3	5	9	9	9	6	206	CC41/44
4053	6	6	365	55	72	6	20	unassigned CC for 4053
4054	2	5	2	9	226	20	5	CC750
4055	80	7	6	17	1	18	326	CC167
4056	3	6	9	5	3	38	9	CC41/44
4057	83	7	6	17	9	6	8	CC167
4058	8	25	7	24	21	26	49	CC1157
4059	3	7	4	13	8	18	325	CC92
4060	4	10	11	17	6	10	15	CC35
4061	5	4	38	15	22	40	233	CC1136
4062	3	6	9	5	339	6	9	CC41/44
4063	12	5	12	35	60	6	17	CC461
4064	3	6	108	15	9	6	9	CC41/44
4065	8	10	5	4	5	3	7	CC32
4066	40	43	48	100	86	46	56	unassigned CC for 4066
4067	80	5	48	100	86	44	86	unassigned CC for 4067
4068	8	4	6	17	5	18	327	CC103
4069	80	45	98	97	86	44	56	unassigned CC for 4069
4070	284	53	54	45	95	50	43	unassigned CC for 4070
4071	9	6	18	14	9	6	2	CC41/44
4072	80	218	221	97	17	42	37	unassigned CC for 4072
4073	80	45	48	97	93	44	86	unassigned CC for 4073
4074	3	217	19	5	3	6	9	CC41/44
4075	12	6	9	9	14	318	9	CC41/44
4076	84	49	48	50	93	46	45	CC640 (lactamica)
4077	80	5	48	100	86	83	86	unassigned CC for 4077
4078	4	10	6	17	6	10	12	CC35
4079	8	4	6	17	5	320	2	CC103
4080	9	6	9	17	9	60	9	CC41/44
4081	12	2	15	8	26	21	8	CC37
4082	286	6	9	21	9	6	9	CC41/44
4083	8	5	6	9	8	20	18	CC334
4084	3	6	9	5	9	6	109	CC41/44
4085	287	6	9	5	9	6	9	CC41/44
4086	3	6	19	17	3	6	9	CC41/44
4087	4	10	15	9	8	11	308	CC269
4088	3	6	9	60	9	18	9	CC41/44
4089	2	3	76	2	8	5	2	CC8
4090	11	10	18	8	11	24	21	CC22
4091	2	6	4	3	8	4	6	CC11
4092	3	6	337	5	9	6	9	CC41/44
4093	2	3	4	154	8	4	6	CC11
4094	12	6	9	17	9	73	74	unassigned CC for 4094
4095	9	18	18	17	327	24	16	unassigned CC for 4095
4096	12	2	9	9	328	54	10	unassigned CC for 4096
4097	3	20	4	5	9	6	9	CC41/44
4098	2	204	4	3	8	4	6	CC11
4099	6	6	63	9	9	11	310	unassigned CC for 4099
4100	3	6	9	15	11	6	9	CC41/44
4101	20	20	2	9	17	11	30	unassigned CC for 4101
4102	2	7	6	17	292	18	8	CC167
4103	2	5	6	17	8	18	7	CC167
4104	2	5	168	8	11	4	21	CC22
4105	43	5	9	76	26	19	49	unassigned CC for 4105
4106	2	6	9	17	16	18	17	CC167
4107	2	6	9	15	14	6	9	CC41/44
4108	2	7	18	17	9	6	8	CC167
4109	14	5	18	9	3	8	17	CC334
4110	13	205	9	3	29	11	9	unassigned CC for 4110
4111	28	6	9	329	9	6	9	CC41/44
4112	3	6	9	330	9	6	21	CC41/44
4113	3	207	49	5	9	6	9	CC41/44
4114	4	10	11	15	9	11	12	CC35
4115	2	201	4	3	8	4	6	CC11
4116	4	10	161	9	8	21	3	CC269
4117	46	5	18	9	310	9	17	CC23
4118	283	45	98	97	330	44	56	unassigned CC for 4118
4119	283	45	98	97	330	237	56	unassigned CC for 4119
4120	88	43	39	45	134	42	56	CC1494 (lactamica)
4121	5	6	63	1	9	11	9	unassigned CC for 4121
4122	12	16	34	17	9	38	17	unassigned CC for 4122
4123	11	5	18	8	34	4	21	CC22
4124	4	10	15	9	36	11	9	CC269
4125	12	5	2	35	192	22	17	CC461
4126	4	35	4	17	6	305	12	unassigned CC for 4126
4127	4	10	47	17	5	2	12	unassigned CC for 4127
4128	4	6	12	17	37	60	17	unassigned CC for 4128
4129	8	5	1	13	36	53	2	CC213
4130	11	5	7	17	11	24	21	CC22
4131	16	2	6	25	17	25	168	CC53
4132	16	2	6	25	17	3	22	CC53
4133	4	16	15	9	8	11	9	CC269
4134	2	16	12	11	8	39	9	CC254
4135	11	5	18	270	11	10	21	CC22
4136	11	198	18	8	11	24	21	CC22
4137	290	16	12	11	3	60	7	CC254
4138	4	10	11	319	6	10	12	CC35
4139	17	5	19	262	3	26	12	CC60
4140	4	6	63	17	9	234	9	unassigned CC for 4140
4141	9	6	9	145	9	6	9	CC41/44
4142	187	10	47	17	26	2	12	unassigned CC for 4142
4143	7	8	10	321	10	10	20	CC18
4144	7	16	15	10	3	56	46	CC178
4145	7	5	159	13	36	53	15	CC213
4146	17	4	19	17	3	26	2	CC60
4147	6	3	2	24	10	306	96	unassigned CC for 4147
4148	2	16	2	17	9	18	8	CC167
4149	2	6	9	10	9	6	16	CC41/44
4150	8	92	12	303	3	22	6	unassigned CC for 4150
4151	179	7	48	56	26	18	8	CC175
4152	291	2	159	92	77	25	112	CC1117
4153	11	5	18	8	11	4	9	CC22
4154	9	20	18	9	9	6	2	CC41/44
4155	11	5	18	8	241	24	21	CC22
4156	11	5	18	8	324	24	21	CC22
4157	12	6	15	11	9	6	9	CC41/44
4158	9	6	9	2	3	6	2	CC41/44
4159	9	6	9	13	26	6	20	CC41/44
4160	16	2	289	322	77	25	112	CC1117
4161	11	182	18	8	11	4	21	CC22
4162	8	10	5	4	6	301	8	CC32
4163	7	6	9	9	9	6	9	CC41/44
4164	84	20	79	63	26	231	62	unassigned CC for 4164
4165	9	20	9	60	9	6	2	CC41/44
4166	16	2	6	323	17	25	22	CC53
4167	10	200	18	59	11	9	17	CC23
4168	23	5	9	3	26	8	2	unassigned CC for 4168
4169	2	7	6	17	1	18	21	CC167
4170	8	26	9	76	26	20	18	CC212
4171	10	5	18	9	11	266	17	CC23
4172	10	6	312	5	9	6	9	CC41/44
4173	4	3	4	3	8	4	6	CC11
4174	3	6	9	5	11	25	298	CC41/44
4175	6	5	75	15	36	18	307	unassigned CC for 4175
4176	8	4	235	17	5	18	2	CC103
4177	7	5	1	13	36	244	37	CC213
4178	7	8	10	26	10	22	16	CC18
4179	16	2	159	320	77	25	112	CC1117
4180	16	78	6	25	17	25	22	CC53
4181	8	10	343	9	8	11	20	CC269
4182	5	10	9	17	9	6	32	unassigned CC for 4182
4183	10	5	18	9	11	9	12	CC23
4184	285	6	9	1	9	6	9	CC41/44
4185	2	16	344	11	3	60	7	CC254
4186	8	25	7	15	21	26	49	CC1157
4187	6	4	6	17	38	21	8	unassigned CC for 4187
4188	4	10	15	7	8	24	1	CC269
